sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,Phone_Number,Street,City,State,Zip_Code,total_enroll,Grades,SSAS,Grade,SingleScore,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,Content_MasteryE,ProgressE,Closing_GapE,ReadinessE,CCRPIScoreE,Third_Grade_Reading,Fifth_Grade_Reading,Content_MasteryM,ProgressM,Closing_GapM,ReadinessM,CCRPIScoreM,Eighth_Grade_Reading,Content_MasteryH,ProgressH,Closing_GapH,ReadinessH,Graduation_RateH,CCRPIScoreH,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,CollegeEnrollment,FinancialEfficiency,SchoolClimate,Mobility,PPE
608175,608,Bartow County,White Elementary School,175,E,(770)606-5869,505 Colonel Way,White,GA,30184,561,K-5,Greatest Gains (Bronze),B,88.90000000000000,1,0,15,16,4,63,31.6,11,8,75.8,99.40000000000000,100,81.8,88.90000000000000,48.2,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,32,33.8,14.9,11.9,30.5,36.4,21.2,27.3,24.5,36.4,11.8,8.200000000000000,50.90000000000000,26.4,14.5,,,,,,,,,,,,,,,,,,,5,23.8,
616300,616,Bulloch County,Southeast Bulloch Middle School,300,M,(912)842-8400,9124 Brooklet/Denmark Highway,Brooklet,GA,30415,810,6-8,Greatest Gains (Silver),B,85.10000000000000,1,0,11,4,3,81,23.5,15,2,,,,,,,,78.3,94.90000000000000,75,85.5,85.10000000000000,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,31.1,41.8,10,11.7,29.4,38.5,20.4,20.4,25,41.1,13.6,12.8,29.1,35.5,22.7,,,4,11.9,
620110,620,Camden County,St. Marys Elementary School,110,E,(912)882-4839,600 Osborne Street,St. Marys,GA,31558,640,K-5,Greatest Gains (Gold),B,85.90000000000000,1,0,20,8,10,61,34.5,15,1,87.2,97.8,100,52.3,85.90000000000000,58.8,72.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,30.9,34.9,23,4.800000000000000,27.1,44.2,23.8,10.3,29.9,37.1,22.7,11.3,40.2,33,15.5,,,,,,,,,,,,,,,,,,,5,25.9,
622477,622,Carroll County,Whitesburg Elementary School,477,E,(770)832-3875,868 Main Street,Whitesburg,GA,30185,279,K-5,Greatest Gains (Platinum),A,92.2,0,0,7,7,5,81,32.299999,14,3,85.40000000000000,100,100,83,92.2,55.1,50.90000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,36.6,36.6,15.7,3.3,26.8,49,20.9,10.9,16.4,54.5,18.2,10.9,41.8,30.9,16.4,,,,,,,,,,,,,,,,,,,5,16.1,
625125,625,Savannah-Chatham County,Tybee Island Maritime Academy,125,E,(912)395-4060,PO Box 1519,Tybee Island,GA,31328,279,K-5,Greatest Gains (Silver),A,90.80000000000000,0,0,8,3,3,87,15.1,10,0,89,93.8,91.7,87.5,90.8,64.60000000000000,78.30000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,30.5,42.2,18.8,6.5,34,41.2,18.3,6.5,21.7,41.3,30.4,0,34.8,28.3,37,,,,,,,,,,,,,,,,,,,4,2.9,
625499,625,Savannah-Chatham County,Savannah Arts Academy,499,H,(912)395-5000,500 Washington Avenue,Savannah,GA,31405,913,9-12,Highest Performing (Silver),A,97.10000000000000,7,0,16,6,7,64,5.4000001,1,0,,,,,,,,,,,,,,96.10000000000000,99.10000000000000,92.60000000000000,96.90000000000000,98.2,97.10000000000000,1.2,10.9,54.40000000000000,33.5,4.4,44.40000000000000,40.40000000000000,10.7,2,15.9,54.3,27.8,0.4,17.5,52.5,29.6,92.5,93,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,
626206,626,Chattahoochee County,Chattahoochee County High School,206,H,(706)989-3678,360 GA-26,Cusseta,GA,31805,422,9-12,Greatest Gains (Gold),B,80.90000000000000,2,0,23,17,7,50,16.4,12,3,,,,,,,,,,,,,,57.7,100,97.90000000000000,75.8,82.8,80.90000000000000,19.1,42.6,36.8,1.5,38.3,44.2,16.7,0.8,27,23.4,42.3,7.2,19.8,39.6,35.2,5.5,50,63.6,82.10000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26.5,
628106,628,Cherokee County,Creekview High School,106,H,(770)720-7600,1550 Owens Store Road,Canton,GA,30115,2005,9-12,Greatest Gains (Silver),B,87.80000000000000,1,0,2,7,2,87,5,10,1,,,,,,,,,,,,,,88.7,96.40000000000000,55.8,83.60000000000000,94.60000000000000,87.8,8.4,18.8,51.1,21.7,11.5,30.6,36.7,21.2,11.8,23.1,47.7,17.4,10.8,19.2,54.1,15.9,72.2,54.8,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.800000000000000,
628108,628,Cherokee County,Avery Elementary School,108,E,(770)479-6200,6391 East Cherokee Drive,Canton,GA,30115,1005,K-5,Greatest Gains (Gold),B,85.2,0,0,3,9,4,83,7,14,5,85.5,98.60000000000000,50,87.60000000000000,85.2,60,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,25.1,42.5,20.6,4.3,25.7,46.6,23.4,14.8,31.8,40.90000000000000,12.5,8.5,52.3,35.2,4,,,,,,,,,,,,,,,,,,,4,7,
628196,628,Cherokee County,Bascomb Elementary School,196,E,(770)592-1091,1335 Wyngate Parkway,Woodstock,GA,30189,946,K-5,Highest Performing (Silver),A,90.80000000000000,1,0,4,6,5,84,5.0999999,13,2,96.5,83.10000000000000,97.5,90.7,90.8,72.60000000000000,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,23.5,45.90000000000000,22,3.6,17.2,44.2,35,5.7,17.1,45.7,31.4,0,27.4,38.3,34.3,,,,,,,,,,,,,,,,,,,4,6.100000000000000,
